batch,tile_N,tile_F,flops,padded_flops,cycles,duration_s,off_chip_traffic_bytes,on_chip_requirement_bytes
1024,256,64,2315027742720,631371202560,14870882,5449,3900706816,113287170
1024,1024,64,6734626160640,5050969620480,29803436,9608,2843742208,415277058
1024,1,64,1683656540160,0,7942058,2960,2843742208,113287170
