batch,tile_N,tile_F,flops,padded_flops,cycles,duration_s,off_chip_traffic_bytes,on_chip_requirement_bytes
1024,256,64,546822094848,366427176960,1335125,3806,928006144,587485186
1024,1024,64,1871597273088,1691202355200,1154880,2630,795885568,2154057730
1024,1,64,180394917888,0,1051196,3514,795885568,266620930
