batch,tile_N,tile_F,flops,padded_flops,cycles,duration_s,off_chip_traffic_bytes,on_chip_requirement_bytes
64,16,64,157842800640,52614266880,4644999,2719,4229431552,18915330
64,64,64,420914135040,315685601280,2813010,1934,2820145408,37789698
64,1,64,105228533760,0,2782672,2043,2820145408,18915330
