batch,n_par_region,n_expert_per_region,unit_flops,round_N,tile_F,flops,cycles,duration_s,off_chip_traffic_bytes,on_chip_requirement_bytes,allocated_flops,utilization(%)
64,128,1,1024,1,48,11274682368,713539,2445,567018496,47992834,786432,2.01
64,64,2,1024,1,48,11274682368,704732,1962,0,0,459776,3.48
64,32,4,1024,1,48,11274682368,754098,1382,0,0,295936,5.05
64,16,8,1024,1,48,11274682368,769760,918,0,0,214016,6.84
64,8,16,1024,1,48,11274682368,796622,464,0,0,173056,8.18
64,4,32,1024,1,48,11274682368,1280865,542,0,0,152576,5.77
64,2,64,1024,1,48,11274682368,2189778,791,0,0,142336,3.62
