batch,unit_flops,max_N,tile_N,stdev,static_coarse_cycles,static_interleave_cycles,dynamic_cycles
64,2048,6464,32,1399.76657,1.161267212,1.532566332,1
64,2048,6464,32,995.3332217,1.263965474,1.412079386,1
64,2048,6464,32,489.4884902,1.142354405,1.187131488,1
