batch,unit_flops,max_N,tile_N,stdev,start_idx,end_idx,static_coarse_cycles,static_interleave_cycles,dynamic_cycles
80,2048,6528,32,1334,3227,3306,107668,119544,77995
80,2048,6528,32,1310,815,894,136864,120230,75468
80,2048,6528,32,987,4687,4766,96273,95869,65553
80,2048,6528,32,986,3989,4068,130217,86011,64900
80,2048,6528,32,987,1891,1970,113488,113420,72531
80,2048,6528,32,562,4181,4260,88483,70379,54984
80,2048,6528,32,531,135,214,75528,63086,50743
80,2048,6528,32,529,2025,2104,83397,70126,58433
