batch,unit_flops,max_N,tile_N,stdev,start_idx,end_idx,static_coarse_cycles,static_interleave_cycles,dynamic_cycles
64,2048,6464,32,1457,961,1024,95860,101499,64554
64,2048,6464,32,1374,3239,3302,64548,98375,67025
64,2048,6464,32,1370,1727,1790,75526,107580,68970
64,2048,6464,32,996,4007,4070,70210,64362,49094
64,2048,6464,32,995,3123,3186,66610,79782,57669
64,2048,6464,32,995,733,796,52164,66244,42671
64,2048,6464,32,508,2019,2082,56188,54448,46770
64,2048,6464,32,484,4185,4248,48710,48789,42624
64,2048,6464,32,477,271,334,43392,50172,39962
