batch,unit_flops,max_N,tile_N,stdev,static_coarse_cycles,static_interleave_cycles,dynamic_cycles
80,2048,6528,32,1351.625663,1.645012471,1.561320981,1
80,2048,6528,32,986.666554,1.66438477,1.4471725,1
80,2048,6528,32,540.4582735,1.506430843,1.240684906,1
