batch,unit_flops,max_N,tile_N,stdev,static_coarse_cycles,static_interleave_cycles,dynamic_cycles
16,2048,6528,32,1454.999771,3.398896245,1.573065782,1
16,2048,8000,32,986.666554,3.214111435,1.308262464,1
16,2048,4672,32,479.3331016,3.360528147,1.091047827,1
